epoch;loss
0;1.99741026461
1;1.90051191032
2;1.83512783408
3;1.77809826374
4;1.72915248632
5;1.68452622414
6;1.64408444345
7;1.6056441766
8;1.56947451115
9;1.53580113411
10;1.50277280748
11;1.47094774663
12;1.43986718118
13;1.4094175148
14;1.37865922034
15;1.34894162178
16;1.31985575378
17;1.28955808997
18;1.26017695427
19;1.22904457152
20;1.20075536013
21;1.17104591906
22;1.14188077092
23;1.11262182951
24;1.08203403771
25;1.05388744652
26;1.02532796592
27;0.996144738793
28;0.967079690993
29;0.940909952819
